iter	Passed	Remaining
267	1409	3849
268	1414	3844
269	1420	3839
270	1424	3832
271	1430	3827
272	1435	3821
273	1440	3816
274	1445	3810
275	1450	3804
276	1455	3797
277	1460	3793
278	1466	3789
279	1472	3787
280	1478	3784
281	1483	3777
282	1488	3772
283	1494	3766
284	1499	3761
285	1504	3756
286	1510	3752
287	1515	3746
288	1520	3741
289	1526	3736
290	1530	3729
291	1536	3724
292	1540	3717
293	1545	3711
294	1550	3705
295	1556	3702
296	1562	3697
297	1567	3691
298	1572	3685
299	1578	3683
300	1583	3678
301	1589	3672
302	1596	3673
303	1605	3675
304	1610	3669
305	1615	3662
306	1619	3656
307	1624	3650
308	1629	3644
309	1634	3638
310	1641	3635
311	1646	3630
312	1650	3623
313	1655	3617
314	1661	3612
315	1666	3607
316	1671	3601
317	1676	3596
318	1681	3590
319	1686	3583
320	1691	3577
321	1696	3571
322	1701	3565
323	1706	3559
324	1710	3552
325	1715	3546
326	1720	3540
327	1725	3534
328	1730	3530
329	1735	3523
330	1740	3517
331	1745	3512
332	1751	3508
333	1758	3505
334	1763	3499
335	1768	3494
336	1774	3490
337	1778	3483
338	1783	3477
339	1788	3472
340	1793	3466
341	1798	3461
342	1804	3456
343	1809	3450
344	1814	3443
345	1818	3437
346	1824	3432
347	1828	3426
348	1834	3421
349	1839	3415
350	1844	3409
351	1849	3404
352	1854	3399
353	1859	3393
354	1864	3388
355	1869	3382
356	1874	3376
357	1879	3370
358	1884	3364
359	1889	3359
360	1894	3353
361	1899	3347
362	1904	3341
363	1909	3335
364	1914	3331
365	1919	3325
366	1924	3319
367	1929	3313
368	1934	3307
369	1939	3302
370	1944	3296
371	1949	3290
372	1954	3285
373	1959	3280
374	1964	3274
375	1970	3269
376	1975	3264
377	1980	3258
378	1985	3253
379	1990	3246
380	1994	3240
381	1999	3235
382	2004	3229
383	2009	3223
384	2014	3217
385	2019	3211
386	2023	3205
387	2028	3199
388	2033	3193
389	2038	3187
390	2042	3182
391	2047	3175
392	2052	3170
393	2057	3164
394	2062	3158
395	2067	3152
396	2072	3147
397	2076	3141
398	2081	3135
399	2086	3130
400	2091	3124
401	2096	3118
402	2100	3112
403	2105	3106
404	2110	3100
405	2115	3094
406	2120	3088
407	2126	3085
408	2132	3080
409	2136	3074
410	2141	3069
411	2146	3063
412	2151	3057
413	2155	3051
414	2160	3045
415	2165	3039
416	2170	3034
417	2174	3027
418	2179	3022
419	2184	3017
420	2189	3011
421	2194	3006
